Name,Al Concentration (%),Fe Concentration (%),Ni Concentration (%),SIPFENN_Krajewski2022_NN30_endmembers,SIPFENN_Krajewski2022_NN30_dilute,Formation_H
6467_t1_dilute.POSCAR,22.727272727272727,31.818181818181817,45.45454545454545,,-0.0438144020736217,-0.0438144020736217
6459_t1_dilute.POSCAR,13.636363636363637,40.909090909090914,45.45454545454545,,0.0064632492139935,0.0064632492139935
5213_t1_dilute.POSCAR,40.909090909090914,22.727272727272727,36.36363636363637,,-0.3765712082386017,-0.3765712082386017
3611_t1_dilute.POSCAR,50.0,31.818181818181817,18.181818181818183,,-0.2969965040683746,-0.2969965040683746
6664_t1_dilute.POSCAR,31.818181818181817,18.181818181818183,50.0,,-0.0652944222092628,-0.0652944222092628
3229_t1_dilute.POSCAR,40.909090909090914,4.545454545454546,54.54545454545454,,-0.1354096978902816,-0.1354096978902816
6061_t1_dilute.POSCAR,59.09090909090909,18.181818181818183,22.727272727272727,,-0.3957940638065338,-0.3957940638065338
3014_t1_dilute.POSCAR,54.54545454545454,4.545454545454546,40.909090909090914,,-0.3955242335796356,-0.3955242335796356
5416_t1_dilute.POSCAR,18.181818181818183,50.0,31.818181818181817,,0.1611402779817581,0.1611402779817581
5428_t1_dilute.POSCAR,18.181818181818183,31.818181818181817,50.0,,-0.0124559802934527,-0.0124559802934527
6262_t1_dilute.POSCAR,36.36363636363637,22.727272727272727,40.909090909090914,,0.0839318856596946,0.0839318856596946
5615_t1_dilute.POSCAR,22.727272727272727,9.090909090909092,68.18181818181817,,0.0115530686452984,0.0115530686452984
3217_t1_dilute.POSCAR,40.909090909090914,22.727272727272727,36.36363636363637,,-0.3871921598911285,-0.3871921598911285
8168_t1_dilute.POSCAR,13.636363636363637,36.36363636363637,50.0,,0.0156846232712268,0.0156846232712268
1919_t1_dilute.POSCAR,22.727272727272727,22.727272727272727,54.54545454545454,,-0.0132056875154376,-0.0132056875154376
6087_t1_dilute.POSCAR,50.0,22.727272727272727,27.27272727272727,,-0.3629406988620758,-0.3629406988620758
8355_t1_dilute.POSCAR,22.727272727272727,36.36363636363637,40.909090909090914,,-0.0674727335572242,-0.0674727335572242
4952_t1_dilute.POSCAR,31.818181818181817,27.27272727272727,40.909090909090914,,-0.0811753049492836,-0.0811753049492836
1927_t1_dilute.POSCAR,13.636363636363637,36.36363636363637,50.0,,-0.014462093822658,-0.014462093822658
8156_t1_dilute.POSCAR,13.636363636363637,54.54545454545454,31.818181818181817,,0.1392834335565567,0.1392834335565567
6284_t1_dilute.POSCAR,36.36363636363637,50.0,13.636363636363637,,0.2098913341760635,0.2098913341760635
6481_t1_dilute.POSCAR,77.27272727272727,0.0,22.727272727272727,,-0.3270879685878753,-0.3270879685878753
2968_t1_dilute.POSCAR,50.0,45.45454545454545,4.545454545454546,,-0.2679846584796905,-0.2679846584796905
8550_t1_dilute.POSCAR,18.181818181818183,40.909090909090914,40.909090909090914,,0.0831130370497703,0.0831130370497703
6682_t1_dilute.POSCAR,18.181818181818183,40.909090909090914,40.909090909090914,,0.0020038681104779,0.0020038681104779
7923_t1_dilute.POSCAR,40.909090909090914,36.36363636363637,22.727272727272727,,-0.3223397433757782,-0.3223397433757782
2956_t1_dilute.POSCAR,68.18181818181817,27.27272727272727,4.545454545454546,,-0.3256401121616363,-0.3256401121616363
824_t1_dilute.POSCAR,27.27272727272727,31.818181818181817,40.909090909090914,,-0.0992857590317726,-0.0992857590317726
8654_t1_dilute.POSCAR,18.181818181818183,22.727272727272727,59.09090909090909,,-0.0349515490233898,-0.0349515490233898
6586_t1_dilute.POSCAR,36.36363636363637,4.545454545454546,59.09090909090909,,0.111108623445034,0.111108623445034
8469_t1_dilute.POSCAR,40.909090909090914,13.636363636363637,45.45454545454545,,-0.0723519101738929,-0.0723519101738929
7824_t1_dilute.POSCAR,50.0,18.181818181818183,31.818181818181817,,-0.3949275910854339,-0.3949275910854339
6785_t1_dilute.POSCAR,22.727272727272727,18.181818181818183,59.09090909090909,,-0.083349622786045,-0.083349622786045
8457_t1_dilute.POSCAR,31.818181818181817,4.545454545454546,63.63636363636363,,-0.0055103106424212,-0.0055103106424212
923_t1_dilute.POSCAR,31.818181818181817,31.818181818181817,36.36363636363637,,-0.0691959038376808,-0.0691959038376808
2851_t1_dilute.POSCAR,31.818181818181817,18.181818181818183,50.0,,-0.0487552098929882,-0.0487552098929882
8252_t1_dilute.POSCAR,18.181818181818183,50.0,31.818181818181817,,0.0849504098296165,0.0849504098296165
6180_t1_dilute.POSCAR,54.54545454545454,31.818181818181817,13.636363636363637,,-0.3393114507198334,-0.3393114507198334
4855_t1_dilute.POSCAR,4.545454545454546,27.27272727272727,68.18181818181817,,0.0838859900832176,0.0838859900832176
6383_t1_dilute.POSCAR,50.0,22.727272727272727,27.27272727272727,,-0.3610295951366424,-0.3610295951366424
93_t1_dilute.POSCAR,68.18181818181817,18.181818181818183,13.636363636363637,,-0.3411391079425812,-0.3411391079425812
8051_t1_dilute.POSCAR,22.727272727272727,31.818181818181817,45.45454545454545,,-0.0586606077849864,-0.0586606077849864
1820_t1_dilute.POSCAR,9.090909090909092,50.0,40.909090909090914,,0.1467050462961197,0.1467050462961197
6166_t1_dilute.POSCAR,68.18181818181817,18.181818181818183,13.636363636363637,,-0.3000179827213287,-0.3000179827213287
5511_t1_dilute.POSCAR,59.09090909090909,9.090909090909092,31.818181818181817,,-0.3567791283130646,-0.3567791283130646
8089_t1_dilute.POSCAR,22.727272727272727,0.0,77.27272727272727,,-0.0838163271546363,-0.0838163271546363
3113_t1_dilute.POSCAR,31.818181818181817,50.0,18.181818181818183,,0.1539889127016067,0.1539889127016067
75_t1_dilute.POSCAR,77.27272727272727,4.545454545454546,18.181818181818183,,-0.2796021997928619,-0.2796021997928619
6365_t1_dilute.POSCAR,22.727272727272727,31.818181818181817,45.45454545454545,,-0.094158686697483,-0.094158686697483
3310_t1_dilute.POSCAR,36.36363636363637,40.909090909090914,22.727272727272727,,0.2026489526033401,0.2026489526033401
5712_t1_dilute.POSCAR,0.0,40.909090909090914,59.09090909090909,,0.3008811771869659,0.3008811771869659
6158_t1_dilute.POSCAR,72.72727272727273,22.727272727272727,4.545454545454546,,-0.2735621631145477,-0.2735621631145477
5117_t1_dilute.POSCAR,31.818181818181817,31.818181818181817,36.36363636363637,,-0.0334742479026317,-0.0334742479026317
3515_t1_dilute.POSCAR,22.727272727272727,59.09090909090909,18.181818181818183,,0.1305183321237564,0.1305183321237564
6560_t1_dilute.POSCAR,50.0,0.0,50.0,,-0.2446102350950241,-0.2446102350950241
3728_t1_dilute.POSCAR,18.181818181818183,59.09090909090909,22.727272727272727,,0.1457446366548538,0.1457446366548538
2889_t1_dilute.POSCAR,31.818181818181817,0.0,68.18181818181817,,-0.22291199862957,-0.22291199862957
3716_t1_dilute.POSCAR,36.36363636363637,40.909090909090914,22.727272727272727,,0.150729551911354,0.150729551911354
5314_t1_dilute.POSCAR,13.636363636363637,63.63636363636363,22.727272727272727,,0.1391617804765701,0.1391617804765701
6763_t1_dilute.POSCAR,22.727272727272727,18.181818181818183,59.09090909090909,,0.0097708897665143,0.0097708897665143
5129_t1_dilute.POSCAR,13.636363636363637,50.0,36.36363636363637,,0.1192757710814476,0.1192757710814476
2870_t1_dilute.POSCAR,4.545454545454546,18.181818181818183,77.27272727272727,,0.1371510177850723,0.1371510177850723
902_t1_dilute.POSCAR,40.909090909090914,18.181818181818183,40.909090909090914,,-0.0782944932579994,-0.0782944932579994
